Date,Day,Family,Rep,Length,Width,Origin
15-Apr,3,38,6,0.66,0.572,offshore
15-Apr,3,38,7,0.664,0.647,offshore
15-Apr,3,38,8,0.605,0.601,offshore
15-Apr,3,38,9,0.63,0.371,offshore
15-Apr,3,38,10,0.83,0.532,offshore
15-Apr,3,38,11,0.531,0.512,offshore
15-Apr,3,39,1,0.555,0.539,offshore
15-Apr,3,39,2,0.476,0.413,offshore
15-Apr,3,39,3,0.555,0.499,offshore
15-Apr,3,39,4,0.519,0.439,offshore
15-Apr,3,39,5,0.506,0.457,offshore
15-Apr,3,39,6,0.545,0.523,offshore
15-Apr,3,39,7,0.542,0.467,offshore
15-Apr,3,39,8,0.579,0.506,offshore
15-Apr,3,39,9,0.584,0.526,offshore
15-Apr,3,39,10,0.591,0.486,offshore
16-Apr,4,40,1,0.466,0.448,offshore
16-Apr,4,40,2,0.522,0.266,offshore
16-Apr,4,40,3,0.497,0.497,offshore
16-Apr,4,40,4,0.55,0.505,offshore
16-Apr,4,40,5,0.532,0.431,offshore
16-Apr,4,40,6,0.51,0.46,offshore
16-Apr,4,40,7,0.502,0.493,offshore
16-Apr,4,40,8,0.475,0.44,offshore
16-Apr,4,40,9,0.54,0.446,offshore
17-Apr,5,40,1,0.514,0.336,offshore
17-Apr,5,40,2,0.392,0.309,offshore
17-Apr,5,40,3,0.629,0.309,offshore
17-Apr,5,40,4,0.39,0.269,offshore
17-Apr,5,40,5,0.533,0.363,offshore
17-Apr,5,40,6,0.551,0.361,offshore
17-Apr,5,40,7,0.564,0.323,offshore
17-Apr,5,40,8,0.5,0.289,offshore
17-Apr,5,40,9,0.438,0.346,offshore
17-Apr,5,40,10,0.336,0.276,offshore
15-Apr,3,41,1,0.666,0.537,offshore
15-Apr,3,41,2,0.641,0.537,offshore
15-Apr,3,41,3,0.487,0.479,offshore
15-Apr,3,41,4,0.566,0.534,offshore
15-Apr,3,41,5,0.503,0.427,offshore
15-Apr,3,41,6,0.528,0.499,offshore
15-Apr,3,41,7,0.578,0.444,offshore
15-Apr,3,41,8,0.578,0.4,offshore
15-Apr,3,41,9,0.55,0.444,offshore
15-Apr,3,41,10,0.736,0.557,offshore
